Date,HE,MWh
1/5/2019,13,14183.8
1/5/2019,14,14127.66
1/5/2019,15,14169.48
1/5/2019,16,14362.22
1/5/2019,17,15047.09
1/5/2019,18,15516.42
1/5/2019,19,15263.51
1/5/2019,20,14738.38
1/5/2019,21,14217.52
1/5/2019,22,13568.67
1/5/2019,23,12776.85
1/5/2019,24,11942.89
1/6/2019,1,11260.57
1/6/2019,2,11038.55
1/6/2019,3,11195.37
1/6/2019,4,11349.68
1/6/2019,5,11432.7
1/6/2019,6,11702.78
1/6/2019,7,11950.58
1/6/2019,8,12012.44
1/6/2019,9,12633.12
1/6/2019,10,12977.21
1/6/2019,11,13117.99
1/6/2019,12,13132.92
1/6/2019,13,13049.72
1/6/2019,14,13133.78
1/6/2019,15,13371.89
1/6/2019,16,13923.2
1/6/2019,17,15078.45
1/6/2019,18,16211.06
1/6/2019,19,16202.85
1/6/2019,20,15829
1/6/2019,21,15375.56
1/6/2019,22,14557.03
1/6/2019,23,13559.7
1/6/2019,24,12934.47
1/7/2019,1,12423.45
1/7/2019,2,12229.63
1/7/2019,3,12315.64
1/7/2019,4,12280.41
1/7/2019,5,12755.67
1/7/2019,6,13618.84
1/7/2019,7,15458.71
1/7/2019,8,16502.72
1/7/2019,9,16323.87
1/7/2019,10,15746.28
1/7/2019,11,15323.67
1/7/2019,12,14967.26
1/7/2019,13,14881.74
1/7/2019,14,15046.41
1/7/2019,15,15332.16
1/7/2019,16,15956.82
1/7/2019,17,17013.64
1/7/2019,18,17940.7
1/7/2019,19,17842.82
1/7/2019,20,17385.17
1/7/2019,21,16678.57
1/7/2019,22,15626.48
1/7/2019,23,14338.12
1/7/2019,24,13216.56
1/8/2019,1,12459.04
1/8/2019,2,12022.06
1/8/2019,3,11827.99
1/8/2019,4,12082.02
1/8/2019,5,12451.83
1/8/2019,6,13177.53
1/8/2019,7,14817.18
1/8/2019,8,15851.12
1/8/2019,9,16108.59
1/8/2019,10,16168.27
1/8/2019,11,16220.85
1/8/2019,12,16139.22
1/8/2019,13,15960.62
1/8/2019,14,15845.61
1/8/2019,15,15684.27
1/8/2019,16,15738.85
1/8/2019,17,16392.12
1/8/2019,18,17033.33
1/8/2019,19,16827.71
1/8/2019,20,16313.4
1/8/2019,21,15583.71
1/8/2019,22,14562.31
1/8/2019,23,13280.12
1/8/2019,24,12384.96
1/9/2019,1,12225.25
1/9/2019,2,12037.99
1/9/2019,3,12189
1/9/2019,4,12192.39
1/9/2019,5,12473.42
1/9/2019,6,12822.3
1/9/2019,7,13874.53
1/9/2019,8,14784.46
1/9/2019,9,14815.51
1/9/2019,10,14669.97
1/9/2019,11,14529.94
1/9/2019,12,14561.84
1/9/2019,13,14632.05
1/9/2019,14,14779.85
1/9/2019,15,14775.57
1/9/2019,16,15012.27
1/9/2019,17,15862.93
1/9/2019,18,16827.9
1/9/2019,19,16697.61
1/9/2019,20,16257.07
1/9/2019,21,15647.2
1/9/2019,22,14761.86
1/9/2019,23,13693.35
1/9/2019,24,12638.87
1/10/2019,1,12447.98
1/10/2019,2,12584.32
1/10/2019,3,12243.81
1/10/2019,4,12202.97
1/10/2019,5,12152.68
1/10/2019,6,12754.06
1/10/2019,7,14321.34
1/10/2019,8,15327.58
1/10/2019,9,15334.49
1/10/2019,10,15287.57
1/10/2019,11,15453.64
1/10/2019,12,15412.66
1/10/2019,13,15233.94
1/10/2019,14,15214.46
1/10/2019,15,15198.26
1/10/2019,16,15529.77
1/10/2019,17,16475.74
1/10/2019,18,17495.66
1/10/2019,19,17496.18
1/10/2019,20,17136.54
1/10/2019,21,16575.29
1/10/2019,22,15665.68
1/10/2019,23,14452.38
1/10/2019,24,13405.07
1/11/2019,1,13075.15
1/11/2019,2,13046.27
1/11/2019,3,13071.15
1/11/2019,4,13118.1
1/11/2019,5,12917.84
1/11/2019,6,13724.35
1/11/2019,7,15515.14
1/11/2019,8,16522.4
1/11/2019,9,16328.88
1/11/2019,10,15722.56
1/11/2019,11,15176.51
1/11/2019,12,15057.9
1/11/2019,13,14968.97
1/11/2019,14,15242.95
1/11/2019,15,15516.26
1/11/2019,16,15964.33
1/11/2019,17,16892.26
1/11/2019,18,17748.27
1/11/2019,19,17658.31
1/11/2019,20,17362.74
1/11/2019,21,16902.8
1/11/2019,22,16234.23
1/11/2019,23,15309.81
1/11/2019,24,14382.22
1/12/2019,1,13706.98
1/12/2019,2,13485.11
1/12/2019,3,13414.74
1/12/2019,4,13322.27
1/12/2019,5,13465.86
1/12/2019,6,13856.3
1/12/2019,7,14304.46
1/12/2019,8,15020.8
1/12/2019,9,15552
1/12/2019,10,15561.24
1/12/2019,11,15377.17
1/12/2019,12,15163.09
1/12/2019,13,15129.61
1/12/2019,14,15066.43
1/12/2019,15,15338.89
1/12/2019,16,15781.52
1/12/2019,17,16284.74
1/12/2019,18,17186.32
1/12/2019,19,17051.46
1/12/2019,20,16615.22
1/12/2019,21,16145.25
1/12/2019,22,15516.72
1/12/2019,23,14699.9
1/12/2019,24,13847.53
1/13/2019,1,13592.48
1/13/2019,2,13422.84
1/13/2019,3,13378.66
1/13/2019,4,13303.44
1/13/2019,5,13110.93
1/13/2019,6,13654.97
1/13/2019,7,14078.07
1/13/2019,8,14408.37
1/13/2019,9,14999.09
1/13/2019,10,14860.72
1/13/2019,11,14564.11
1/13/2019,12,14280.05
1/13/2019,13,14208.29
1/13/2019,14,14129.1
1/13/2019,15,14413.48
1/13/2019,16,15090.7
1/13/2019,17,16086.19
1/13/2019,18,17360.05
1/13/2019,19,17301.17
1/13/2019,20,16878.38
1/13/2019,21,16308.48
1/13/2019,22,15377.62
1/13/2019,23,14249.06
1/13/2019,24,13344.69
1/14/2019,1,12788.62
1/14/2019,2,12842.89
1/14/2019,3,12963.16
1/14/2019,4,13001.98
1/14/2019,5,13154.88
1/14/2019,6,14178
1/14/2019,7,15770.35
1/14/2019,8,16839.51
1/14/2019,9,16877.32
1/14/2019,10,16611.27
1/14/2019,11,16182.54
1/14/2019,12,15684.42
1/14/2019,13,15660.8
1/14/2019,14,15913.21
1/14/2019,15,15748.83
1/14/2019,16,16027.09
1/14/2019,17,16911.61
1/14/2019,18,17880.33
1/14/2019,19,17887.9
1/14/2019,20,17522.51
1/14/2019,21,16865.18
1/14/2019,22,15873.58
1/14/2019,23,14635.45
1/14/2019,24,13666.96
1/15/2019,1,13243.28
1/15/2019,2,13144.01
1/15/2019,3,13081.56
1/15/2019,4,13148.7
1/15/2019,5,13487.83
1/15/2019,6,14088.21
1/15/2019,7,15913.2
1/15/2019,8,16828.03
1/15/2019,9,16486.24
1/15/2019,10,15820.36
1/15/2019,11,15488.67
1/15/2019,12,15446.34
1/15/2019,13,15265.86
1/15/2019,14,15326.5
1/15/2019,15,15340.48
1/15/2019,16,15562.91
1/15/2019,17,16449.08
1/15/2019,18,17573.26
1/15/2019,19,17563.43
1/15/2019,20,17157.66
1/15/2019,21,16520.54
1/15/2019,22,15540.65
1/15/2019,23,14301.33
1/15/2019,24,13321.39
1/16/2019,1,13303.05
1/16/2019,2,13285.08
1/16/2019,3,13236.33
1/16/2019,4,13267.46
1/16/2019,5,13539.6
1/16/2019,6,14273.04
1/16/2019,7,15441.17
1/16/2019,8,16296.2
1/16/2019,9,16105.18
1/16/2019,10,15708.65
1/16/2019,11,16092.16
1/16/2019,12,16112.4
1/16/2019,13,16174.64
1/16/2019,14,16233.3
1/16/2019,15,16156.4
1/16/2019,16,16039.71
1/16/2019,17,16522.11
1/16/2019,18,17308.03
1/16/2019,19,17263.51
1/16/2019,20,16816.94
1/16/2019,21,16431.69
1/16/2019,22,15526.37
1/16/2019,23,14392.73
1/16/2019,24,13618.47
1/17/2019,1,13278.07
1/17/2019,2,13011.34
1/17/2019,3,12848.64
1/17/2019,4,12765.44
1/17/2019,5,13053.16
1/17/2019,6,13863.74
1/17/2019,7,15719.47
1/17/2019,8,16758.27
1/17/2019,9,16508.06
1/17/2019,10,15753.87
1/17/2019,11,15173.94
1/17/2019,12,15081.73
1/17/2019,13,14927.89
1/17/2019,14,15003.29
1/17/2019,15,15280.68
1/17/2019,16,15716.82
1/17/2019,17,16716.83
1/17/2019,18,17815.56
1/17/2019,19,17825.26
1/17/2019,20,17443.88
1/17/2019,21,16819.34
1/17/2019,22,15851.64
1/17/2019,23,14615.7
1/17/2019,24,13753.92
1/18/2019,1,12802.92
1/18/2019,2,12401.38
1/18/2019,3,12204.62
1/18/2019,4,12199.45
1/18/2019,5,12536.55
1/18/2019,6,13538.98
1/18/2019,7,15226.76
1/18/2019,8,16243.9
1/18/2019,9,16354.42
1/18/2019,10,16262.19
1/18/2019,11,16125.22
1/18/2019,12,15691.47
1/18/2019,13,15289.41
1/18/2019,14,15122.04
1/18/2019,15,15180.02
1/18/2019,16,15367.39
1/18/2019,17,16065.11
1/18/2019,18,16756.25
1/18/2019,19,16563.21
1/18/2019,20,16058.03
1/18/2019,21,15518.95
1/18/2019,22,14806.11
1/18/2019,23,13819.72
1/18/2019,24,12963.92
1/19/2019,1,12697.38
1/19/2019,2,12554.34
1/19/2019,3,12664.21
1/19/2019,4,12912.75
1/19/2019,5,12705.96
1/19/2019,6,12333.58
1/19/2019,7,13015.85
1/19/2019,8,13795.99
